Episode No.,Avg Reward,Team Reward,Agent 0 reached goal,Agent 1 reached goal,Goals reached,Agent 0 X,Agent 0 Y,Agent 1 X,Agent 1 Y,Agent 0 Goal X,Agent 0 Goal Y,Agent 1 Goal X,Agent 1 Goal Y
3350,-69.05,-40,0,0,0,5,5,7,7,4,9,5,9
3360,-216.3,-40,0,0,0,3,4,3,1,4,9,5,9
3370,-28.48,-40,1,0,1,1,9,3,9,4,9,5,9
3380,-220.4,-40,0,0,0,1,2,9,3,4,9,5,9
3390,-73.12,-40,0,0,0,4,3,3,5,4,9,5,9
3400,-400,-40,0,0,0,1,5,8,5,4,9,5,9
3410,-46.23,-40,1,0,1,0,3,5,6,4,9,5,9
3420,-164.7,-40,0,0,0,1,7,3,5,4,9,5,9
3430,-181.98,-40,1,0,1,6,9,4,0,4,9,5,9
3440,-23.58,-40,1,0,1,5,4,1,0,4,9,5,9
3450,-221.3,-40,0,0,0,7,6,3,2,4,9,5,9
3460,-137.43,-40,0,0,0,5,1,4,0,4,9,5,9
3470,-138.7,-40,0,0,0,7,6,5,4,4,9,5,9
3480,-195.72,-40,1,0,1,0,1,8,2,4,9,5,9
3490,-139.85,-40,0,0,0,1,2,6,3,4,9,5,9
3500,-27.35,-40,1,0,1,9,9,3,6,4,9,5,9
3510,-49.35,-40,1,0,1,7,4,6,3,4,9,5,9
3520,-25.88,-40,0,1,1,9,0,4,8,4,9,5,9
3530,-23.28,-40,1,0,1,4,0,9,5,4,9,5,9
3540,-49.3,-40,1,0,1,6,3,5,6,4,9,5,9
3550,-376.15,-40,0,0,0,1,6,5,0,4,9,5,9
3560,-86.88,-40,0,0,0,6,0,0,2,4,9,5,9
3570,-178.48,-40,1,0,1,7,2,8,5,4,9,5,9
3580,-76.9,-40,0,1,1,2,5,2,9,4,9,5,9
3590,-15.05,-40,1,0,1,4,3,9,0,4,9,5,9
3600,-46.7,-40,0,0,0,3,0,6,3,4,9,5,9
3610,-59.05,-40,0,0,0,1,9,3,0,4,9,5,9
3620,-83,-40,0,0,0,4,2,6,1,4,9,5,9
3630,-42.73,-40,1,0,1,9,8,1,7,4,9,5,9
3640,-219.55,-40,0,0,0,8,5,4,2,4,9,5,9
3650,-30.08,-40,1,0,1,5,8,2,7,4,9,5,9
3660,-215.28,-40,1,0,1,2,5,7,0,4,9,5,9
3670,-91.57,-40,0,0,0,5,4,5,1,4,9,5,9
3680,-58.75,-40,1,0,1,0,3,9,7,4,9,5,9
3690,-219.78,-40,0,0,0,9,5,1,5,4,9,5,9
3700,-195.07,-40,1,0,1,8,9,4,2,4,9,5,9
3710,-52.65,-40,0,0,0,2,4,0,9,4,9,5,9
3720,-31.4,-40,1,0,1,1,0,6,5,4,9,5,9
3730,-227.32,-40,0,0,0,0,0,7,0,4,9,5,9
3740,-240.25,-40,0,0,0,0,2,8,4,4,9,5,9
3750,-214.25,-40,1,0,1,6,5,1,1,4,9,5,9
3760,-219.53,-40,0,0,0,1,8,7,2,4,9,5,9
3770,-164.7,-40,0,0,0,3,5,9,5,4,9,5,9
3780,-27.63,-40,1,0,1,5,8,8,3,4,9,5,9
3790,-18.3,-40,1,0,1,6,8,5,4,4,9,5,9
3800,-40.3,-40,0,0,0,5,9,0,5,4,9,5,9
3810,-147.25,-40,0,0,0,4,5,0,8,4,9,5,9
3820,-66.95,-40,0,0,0,1,0,9,4,4,9,5,9
3830,-233.68,-40,0,0,0,7,1,4,0,4,9,5,9
3840,-39.63,-40,0,0,0,9,6,3,6,4,9,5,9
3850,-71.12,-40,0,0,0,0,3,1,9,4,9,5,9
3860,-221.28,-40,0,0,0,1,5,3,0,4,9,5,9
3870,-19.2,-40,1,0,1,6,5,9,6,4,9,5,9
3880,-178.75,-40,0,0,0,0,1,9,2,4,9,5,9
3890,-149.55,-40,0,0,0,1,3,0,0,4,9,5,9
3900,-78.68,-40,0,0,0,4,5,0,7,4,9,5,9
3910,-76.45,-40,1,0,1,3,8,3,7,4,9,5,9
3920,-231.3,-40,0,0,0,6,8,8,5,4,9,5,9
3930,-51.4,-40,1,0,1,8,6,7,3,4,9,5,9
3940,-219.4,-40,0,0,0,0,1,2,1,4,9,5,9
3950,-219.83,-40,1,0,1,2,5,2,1,4,9,5,9
3960,-44.85,-40,0,0,0,3,1,0,8,4,9,5,9
3970,-15.38,-40,1,0,1,2,9,9,1,4,9,5,9
3980,-111.07,-40,0,0,0,2,6,0,4,4,9,5,9
3990,-40,-40,0,0,0,7,8,6,6,4,9,5,9
